Country,TotalRequests,AccountsRequested,Percent
USA,12000,21000,79
GBR,1975,2337,68
UGA,1,1,0
TUR,96,170,47
THA,2,5,0
TWN,229,329,84
CHE,32,36,13
SWE,54,66,54
ESP,479,715,51
KOR,7,15,14
ZAF,14,9,0
SVN,6,8,50
SGP,107,117,70
SRB,1,1,0
RUS,1,1,0
ROU,16,36,63
QAT,3,3,0
PRT,177,213,42
POL,233,158,9
PHL,4,4,25
PER,13,14,15
PAN,2,2,0
PAK,35,47,77
NOR,16,16,31
NZL,106,119,58
NLD,11,15,36
NPL,3,3,33
MNE,2,2,0
MNG,2,2,0
MEX,78,127,37
MLT,89,97,60
MYS,7,197,0
MKD,9,11,33
LTU,6,7,17
UNK,2,11,0
JPN,1,1,0
CIV,4,4,0
ITA,1705,2306,53
ISR,113,132,50
IRL,34,40,71
IND,3245,4144,50
ISL,1,1,100
HUN,25,24,36
HKG,1,1,100
GRC,122,141,54
DEU,1886,2068,37
FRA,1547,1598,39
FIN,12,15,75
SLV,2,2,0
EGY,8,11,0
ECU,2,3,0
DNK,11,11,55
CZE,10,13,60
CYP,3,4,33
HRV,2,2,0
CRI,4,6,0
COL,27,41,15
CHL,215,340,68
CAN,192,219,44
KHM,1,1,0
BGR,1,1,0
BRA,715,857,33
BWA,3,7,0
BIH,4,11,25
BEL,150,169,70
BRB,3,3,0
BGD,1,12,0
AUT,35,41,17
AUS,546,601,64
ARG,152,218,27
ALB,6,12,83
